"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","2/36","231/29008",0.033309394898736,0.152562528974935,0.11318843303784,"Blm/Chmp4c",2
"GO:0010893","BP","GO:0010893","positive regulation of steroid biosynthetic process","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Igf1r",1
"GO:0033688","BP","GO:0033688","regulation of osteoblast proliferation","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Igf1r",1
"GO:0038083","BP","GO:0038083","peptidyl-tyrosine autophosphorylation","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Igf1r",1
"GO:0045724","BP","GO:0045724","positive regulation of cilium assembly","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Cep135",1
"GO:0051894","BP","GO:0051894","positive regulation of focal adhesion assembly","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Tsc1",1
"GO:1902175","BP","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Nono",1
"GO:1903902","BP","GO:1903902","positive regulation of viral life cycle","1/36","28/29008",0.0341887113124553,0.152562528974935,0.11318843303784,"Vps37b",1
"GO:0016556","BP","GO:0016556","mRNA modification","1/36","29/29008",0.0353884768884644,0.152733829397105,0.113315523395442,"Dnajb11",1
"GO:0048384","BP","GO:0048384","retinoic acid receptor signaling pathway","1/36","29/29008",0.0353884768884644,0.152733829397105,0.113315523395442,"Asxl1",1
"GO:0090502","BP","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","1/36","29/29008",0.0353884768884644,0.152733829397105,0.113315523395442,"Rnaseh1",1
"GO:0051259","BP","GO:0051259","protein complex oligomerization","2/36","240/29008",0.0357136162595905,0.152733829397105,0.113315523395442,"Blm/Tnfaip1",2
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","2/36","240/29008",0.0357136162595905,0.152733829397105,0.113315523395442,"Blm/Sox12",2
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","2/36","242/29008",0.0362568625466038,0.152733829397105,0.113315523395442,"Blm/Chmp4c",2
"GO:0007530","BP","GO:0007530","sex determination","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Igf1r",1
"GO:0032509","BP","GO:0032509","endosome transport via multivesicular body sorting pathway","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Chmp4c",1
"GO:0046885","BP","GO:0046885","regulation of hormone biosynthetic process","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Igf1r",1
"GO:0051446","BP","GO:0051446","positive regulation of meiotic cell cycle","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Igf1r",1
"GO:0070198","BP","GO:0070198","protein localization to chromosome, telomeric region","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Cct7",1
"GO:0071312","BP","GO:0071312","cellular response to alkaloid","1/36","30/29008",0.0365867934222309,0.152733829397105,0.113315523395442,"Blm",1
"GO:0006302","BP","GO:0006302","double-strand break repair","2/36","244/29008",0.0368033323848445,0.152733829397105,0.113315523395442,"Blm/Psmd14",2
"GO:0032868","BP","GO:0032868","response to insulin","2/36","244/29008",0.0368033323848445,0.152733829397105,0.113315523395442,"Igf1r/Tsc1",2
"GO:0034260","BP","GO:0034260","negative regulation of GTPase activity","1/36","31/29008",0.037783662613921,0.154484925958396,0.114614688250681,"Tsc1",1
"GO:0061036","BP","GO:0061036","positive regulation of cartilage development","1/36","31/29008",0.037783662613921,0.154484925958396,0.114614688250681,"Sox5",1
"GO:1902186","BP","GO:1902186","regulation of viral release from host cell","1/36","31/29008",0.037783662613921,0.154484925958396,0.114614688250681,"Vps37b",1
"GO:0016242","BP","GO:0016242","negative regulation of macroautophagy","1/36","32/29008",0.0389790861617659,0.157817763484223,0.117087370498758,"Tsc1",1
"GO:0070536","BP","GO:0070536","protein K63-linked deubiquitination","1/36","32/29008",0.0389790861617659,0.157817763484223,0.117087370498758,"Psmd14",1
"GO:1901215","BP","GO:1901215","negative regulation of neuron death","2/36","255/29008",0.039865720632382,0.158026751575885,0.117242421904746,"Tsc1/Nono",2
"GO:0032212","BP","GO:0032212","positive regulation of telomere maintenance via telomerase","1/36","33/29008",0.0401730657620623,0.158026751575885,0.117242421904746,"Cct7",1
"GO:0033687","BP","GO:0033687","osteoblast proliferation","1/36","33/29008",0.0401730657620623,0.158026751575885,0.117242421904746,"Igf1r",1
"GO:0060740","BP","GO:0060740","prostate gland epithelium morphogenesis","1/36","33/29008",0.0401730657620623,0.158026751575885,0.117242421904746,"Igf1r",1
"GO:0150117","BP","GO:0150117","positive regulation of cell-substrate junction organization","1/36","33/29008",0.0401730657620623,0.158026751575885,0.117242421904746,"Tsc1",1
"GO:1904646","BP","GO:1904646","cellular response to amyloid-beta","1/36","33/29008",0.0401730657620623,0.158026751575885,0.117242421904746,"Igf1r",1
"GO:0019058","BP","GO:0019058","viral life cycle","2/36","257/29008",0.0404326991495844,0.158297831576203,0.117443540230918,"Chmp4c/Vps37b",2
"GO:0060512","BP","GO:0060512","prostate gland morphogenesis","1/36","34/29008",0.0413656031091735,0.158951160095435,0.117928254477907,"Igf1r",1
"GO:0070269","BP","GO:0070269","pyroptosis","1/36","34/29008",0.0413656031091735,0.158951160095435,0.117928254477907,"Casp4",1
"GO:0070542","BP","GO:0070542","response to fatty acid","1/36","34/29008",0.0413656031091735,0.158951160095435,0.117928254477907,"Aacs",1
"GO:0071985","BP","GO:0071985","multivesicular body sorting pathway","1/36","34/29008",0.0413656031091735,0.158951160095435,0.117928254477907,"Chmp4c",1
"GO:0043243","BP","GO:0043243","positive regulation of protein-containing complex disassembly","1/36","35/29008",0.0425566998955362,0.161375453260778,0.11972687401085,"Igf1r",1
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","2/36","265/29008",0.0427313101049702,0.161375453260778,0.11972687401085,"Chmp4c/Vps37b",2
"GO:0006623","BP","GO:0006623","protein targeting to vacuole","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Vps37b",1
"GO:0016540","BP","GO:0016540","protein autoprocessing","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Casp4",1
"GO:0045589","BP","GO:0045589","regulation of regulatory T cell differentiation","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Sox12",1
"GO:0048009","BP","GO:0048009","insulin-like growth factor receptor signaling pathway","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Igf1r",1
"GO:0048679","BP","GO:0048679","regulation of axon regeneration","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Igf1r",1
"GO:0060236","BP","GO:0060236","regulation of mitotic spindle organization","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Chmp4c",1
"GO:0097242","BP","GO:0097242","amyloid-beta clearance","1/36","36/29008",0.0437463578116568,0.161375453260778,0.11972687401085,"Igf1r",1
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","2/36","271/29008",0.0444870036580154,0.1628633196213,0.120830744424173,"Tsc1/Nono",2
"GO:0007095","BP","GO:0007095","mitotic G2 DNA damage checkpoint signaling","1/36","37/29008",0.0449345785461176,0.1628633196213,0.120830744424173,"Blm",1
"GO:0032508","BP","GO:0032508","DNA duplex unwinding","1/36","37/29008",0.0449345785461176,0.1628633196213,0.120830744424173,"Blm",1
"GO:1904358","BP","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","1/36","37/29008",0.0449345785461176,0.1628633196213,0.120830744424173,"Cct7",1
"GO:0140014","BP","GO:0140014","mitotic nuclear division","2/36","278/29008",0.0465689943336133,0.166375311984143,0.123436344338267,"Igf1r/Chmp4c",2
"GO:0031297","BP","GO:0031297","replication fork processing","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Blm",1
"GO:0032506","BP","GO:0032506","cytokinetic process","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Chmp4c",1
"GO:0046640","BP","GO:0046640","regulation of alpha-beta T cell proliferation","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Blm",1
"GO:0051452","BP","GO:0051452","intracellular pH reduction","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Dmxl2",1
"GO:0070570","BP","GO:0070570","regulation of neuron projection regeneration","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Igf1r",1
"GO:1904645","BP","GO:1904645","response to amyloid-beta","1/36","39/29008",0.0473067152147685,0.166375311984143,0.123436344338267,"Igf1r",1
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","2/36","282/29008",0.0477747186125938,0.167000940451064,0.123900507500155,"Blm/Chmp4c",2
"GO:0006284","BP","GO:0006284","base-excision repair","1/36","40/29008",0.0484906345165137,0.167000940451064,0.123900507500155,"Neil2",1
"GO:0007099","BP","GO:0007099","centriole replication","1/36","40/29008",0.0484906345165137,0.167000940451064,0.123900507500155,"Cep135",1
"GO:0045066","BP","GO:0045066","regulatory T cell differentiation","1/36","40/29008",0.0484906345165137,0.167000940451064,0.123900507500155,"Sox12",1
"GO:0090224","BP","GO:0090224","regulation of spindle organization","1/36","40/29008",0.0484906345165137,0.167000940451064,0.123900507500155,"Chmp4c",1
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","2/36","288/29008",0.0496047794548625,0.168280377136823,0.124849740805379,"Blm/Sox12",2
"GO:0045165","BP","GO:0045165","cell fate commitment","2/36","288/29008",0.0496047794548625,0.168280377136823,0.124849740805379,"Sox5/Sox12",2
"GO:0035850","BP","GO:0035850","epithelial cell differentiation involved in kidney development","1/36","41/29008",0.0496731233717129,0.168280377136823,0.124849740805379,"Asxl1",1
"GO:2000781","BP","GO:2000781","positive regulation of double-strand break repair","1/36","41/29008",0.0496731233717129,0.168280377136823,0.124849740805379,"Blm",1
"GO:0032527","BP","GO:0032527","protein exit from endoplasmic reticulum","1/36","42/29008",0.050854183459351,0.171581188094558,0.127298662061277,"Derl2",1
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","2/36","293/29008",0.0511492230805539,0.171852062069304,0.12749962753398,"Blm/Chmp4c",2
"GO:0045880","BP","GO:0045880","positive regulation of smoothened signaling pathway","1/36","43/29008",0.0520338164565015,0.171852062069304,0.12749962753398,"Tubd1",1
"GO:0046633","BP","GO:0046633","alpha-beta T cell proliferation","1/36","43/29008",0.0520338164565015,0.171852062069304,0.12749962753398,"Blm",1
"GO:0098534","BP","GO:0098534","centriole assembly","1/36","43/29008",0.0520338164565015,0.171852062069304,0.12749962753398,"Cep135",1
"GO:0031507","BP","GO:0031507","heterochromatin assembly","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Hat1",1
"GO:0032007","BP","GO:0032007","negative regulation of TOR signaling","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Tsc1",1
"GO:0032392","BP","GO:0032392","DNA geometric change","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Blm",1
"GO:0045851","BP","GO:0045851","pH reduction","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Dmxl2",1
"GO:0045940","BP","GO:0045940","positive regulation of steroid metabolic process","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Igf1r",1
"GO:0070232","BP","GO:0070232","regulation of T cell apoptotic process","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Blm",1
"GO:1901998","BP","GO:1901998","toxin transport","1/36","44/29008",0.0532120240383268,0.171852062069304,0.12749962753398,"Cct7",1
"GO:0045840","BP","GO:0045840","positive regulation of mitotic nuclear division","1/36","45/29008",0.0543888078780801,0.174693414656246,0.129607669719599,"Igf1r",1
"GO:0008631","BP","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","1/36","46/29008",0.0555641696471094,0.174693414656246,0.129607669719599,"Nono",1
"GO:0010824","BP","GO:0010824","regulation of centrosome duplication","1/36","46/29008",0.0555641696471094,0.174693414656246,0.129607669719599,"Chmp4c",1
"GO:0045005","BP","GO:0045005","DNA-dependent DNA replication maintenance of fidelity","1/36","46/29008",0.0555641696471094,0.174693414656246,0.129607669719599,"Blm",1
"GO:0051898","BP","GO:0051898","negative regulation of protein kinase B signaling","1/36","46/29008",0.0555641696471094,0.174693414656246,0.129607669719599,"Igf1r",1
"GO:0090329","BP","GO:0090329","regulation of DNA-dependent DNA replication","1/36","46/29008",0.0555641696471094,0.174693414656246,0.129607669719599,"Blm",1
"GO:0048511","BP","GO:0048511","rhythmic process","2/36","307/29008",0.0555651343003,0.174693414656246,0.129607669719599,"Igf1r/Nono",2
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","1/36","47/29008",0.0567381110148569,0.177708045820118,0.131844269885566,"Blm",1
"GO:0007080","BP","GO:0007080","mitotic metaphase plate congression","1/36","48/29008",0.0579106336488637,0.178021577513174,0.132076883760566,"Chmp4c",1
"GO:0010569","BP","GO:0010569","regulation of double-strand break repair via homologous recombination","1/36","48/29008",0.0579106336488637,0.178021577513174,0.132076883760566,"Blm",1
"GO:0045740","BP","GO:0045740","positive regulation of DNA replication","1/36","48/29008",0.0579106336488637,0.178021577513174,0.132076883760566,"Tnfaip1",1
"GO:0072666","BP","GO:0072666","establishment of protein localization to vacuole","1/36","48/29008",0.0579106336488637,0.178021577513174,0.132076883760566,"Vps37b",1
"GO:0090317","BP","GO:0090317","negative regulation of intracellular protein transport","1/36","48/29008",0.0579106336488637,0.178021577513174,0.132076883760566,"Derl2",1
"GO:0032210","BP","GO:0032210","regulation of telomere maintenance via telomerase","1/36","49/29008",0.0590817392147701,0.180951452207598,0.134250601828085,"Cct7",1
"GO:0045927","BP","GO:0045927","positive regulation of growth","2/36","321/29008",0.0601114054975701,0.180984530734128,0.134275143284039,"Igf1r/Derl2",2
"GO:0051604","BP","GO:0051604","protein maturation","2/36","321/29008",0.0601114054975701,0.180984530734128,0.134275143284039,"Dnajb11/Casp4",2
"GO:0044818","BP","GO:0044818","mitotic G2/M transition checkpoint","1/36","50/29008",0.0602514293763177,0.180984530734128,0.134275143284039,"Blm",1
"GO:0002218","BP","GO:0002218","activation of innate immune response","1/36","51/29008",0.0614197057953536,0.180984530734128,0.134275143284039,"Nono",1
"GO:0032350","BP","GO:0032350","regulation of hormone metabolic process","1/36","51/29008",0.0614197057953536,0.180984530734128,0.134275143284039,"Igf1r",1
"GO:0032467","BP","GO:0032467","positive regulation of cytokinesis","1/36","51/29008",0.0614197057953536,0.180984530734128,0.134275143284039,"Igf1r",1
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","2/36","325/29008",0.0614335070655372,0.180984530734128,0.134275143284039,"Aacs/Blm",2
"GO:0001822","BP","GO:0001822","kidney development","2/36","327/29008",0.0620983393692629,0.180984530734128,0.134275143284039,"Tsc1/Asxl1",2
"GO:0007339","BP","GO:0007339","binding of sperm to zona pellucida","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Cct7",1
"GO:0032206","BP","GO:0032206","positive regulation of telomere maintenance","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Cct7",1
"GO:0045814","BP","GO:0045814","negative regulation of gene expression, epigenetic","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Hat1",1
"GO:0045911","BP","GO:0045911","positive regulation of DNA recombination","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Blm",1
"GO:0046605","BP","GO:0046605","regulation of centrosome cycle","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Chmp4c",1
"GO:0061005","BP","GO:0061005","cell differentiation involved in kidney development","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Asxl1",1
"GO:0070229","BP","GO:0070229","negative regulation of lymphocyte apoptotic process","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Blm",1
"GO:1904036","BP","GO:1904036","negative regulation of epithelial cell apoptotic process","1/36","52/29008",0.0625865701318311,0.180984530734128,0.134275143284039,"Igf1r",1
"GO:0007265","BP","GO:0007265","Ras protein signal transduction","2/36","330/29008",0.0631002704073808,0.180984530734128,0.134275143284039,"Srgap1/Tnfaip1",2
"GO:0030850","BP","GO:0030850","prostate gland development","1/36","53/29008",0.06375202404381,0.180984530734128,0.134275143284039,"Igf1r",1
"GO:0031103","BP","GO:0031103","axon regeneration","1/36","53/29008",0.06375202404381,0.180984530734128,0.134275143284039,"Igf1r",1
"GO:0032330","BP","GO:0032330","regulation of chondrocyte differentiation","1/36","53/29008",0.06375202404381,0.180984530734128,0.134275143284039,"Sox5",1
"GO:0070828","BP","GO:0070828","heterochromatin organization","1/36","53/29008",0.06375202404381,0.180984530734128,0.134275143284039,"Hat1",1
"GO:0062197","BP","GO:0062197","cellular response to chemical stress","2/36","333/29008",0.064107773537149,0.180984530734128,0.134275143284039,"Tsc1/Nono",2
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","2/36","333/29008",0.064107773537149,0.180984530734128,0.134275143284039,"Blm/Sox12",2
"GO:0035272","BP","GO:0035272","exocrine system development","1/36","54/29008",0.0649160691874608,0.182645211612178,0.135507227385065,"Igf1r",1
"GO:0008202","BP","GO:0008202","steroid metabolic process","2/36","337/29008",0.065459687849646,0.183552503091913,0.136180360569143,"Ebp/Igf1r",2
"GO:0046580","BP","GO:0046580","negative regulation of Ras protein signal transduction","1/36","55/29008",0.0660787072170685,0.184213447355416,0.13667072505126,"Tnfaip1",1
"GO:0050863","BP","GO:0050863","regulation of T cell activation","2/36","339/29008",0.0661392859179687,0.184213447355416,0.13667072505126,"Blm/Sox12",2
"GO:0072001","BP","GO:0072001","renal system development","2/36","342/29008",0.0671631908273656,0.184798510005214,0.137104791823779,"Tsc1/Asxl1",2
"GO:0006695","BP","GO:0006695","cholesterol biosynthetic process","1/36","56/29008",0.0672399397850295,0.184798510005214,0.137104791823779,"Ebp",1
"GO:0048538","BP","GO:0048538","thymus development","1/36","56/29008",0.0672399397850295,0.184798510005214,0.137104791823779,"Asxl1",1
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","1/36","56/29008",0.0672399397850295,0.184798510005214,0.137104791823779,"Ebp",1
"GO:0043666","BP","GO:0043666","regulation of phosphoprotein phosphatase activity","1/36","57/29008",0.0683997685418599,0.185739346861602,0.137802812826933,"Tsc1",1
"GO:0016032","BP","GO:0016032","viral process","2/36","346/29008",0.0685367315491218,0.185739346861602,0.137802812826933,"Chmp4c/Vps37b",2
"GO:0045599","BP","GO:0045599","negative regulation of fat cell differentiation","1/36","58/29008",0.0695581951361911,0.185739346861602,0.137802812826933,"Asxl1",1
"GO:0051445","BP","GO:0051445","regulation of meiotic cell cycle","1/36","58/29008",0.0695581951361911,0.185739346861602,0.137802812826933,"Igf1r",1
"GO:0051496","BP","GO:0051496","positive regulation of stress fiber assembly","1/36","58/29008",0.0695581951361911,0.185739346861602,0.137802812826933,"Tsc1",1
"GO:0071715","BP","GO:0071715","icosanoid transport","1/36","58/29008",0.0695581951361911,0.185739346861602,0.137802812826933,"Abcc10",1
"GO:1904356","BP","GO:1904356","regulation of telomere maintenance via telomere lengthening","1/36","58/29008",0.0695581951361911,0.185739346861602,0.137802812826933,"Cct7",1
"GO:0043434","BP","GO:0043434","response to peptide hormone","2/36","351/29008",0.0702668805114074,0.185739346861602,0.137802812826933,"Igf1r/Tsc1",2
"GO:0015711","BP","GO:0015711","organic anion transport","2/36","352/29008",0.0706146544776024,0.185739346861602,0.137802812826933,"Slc35b1/Abcc10",2
"GO:0006487","BP","GO:0006487","protein N-linked glycosylation","1/36","59/29008",0.0707152212147785,0.185739346861602,0.137802812826933,"Ddost",1
"GO:0006900","BP","GO:0006900","vesicle budding from membrane","1/36","59/29008",0.0707152212147785,0.185739346861602,0.137802812826933,"Chmp4c",1
"GO:0010656","BP","GO:0010656","negative regulation of muscle cell apoptotic process","1/36","59/29008",0.0707152212147785,0.185739346861602,0.137802812826933,"Igf1r",1
"GO:0032731","BP","GO:0032731","positive regulation of interleukin-1 beta production","1/36","59/29008",0.0707152212147785,0.185739346861602,0.137802812826933,"Casp4",1
"GO:0035036","BP","GO:0035036","sperm-egg recognition","1/36","59/29008",0.0707152212147785,0.185739346861602,0.137802812826933,"Cct7",1
"GO:0006278","BP","GO:0006278","RNA-dependent DNA biosynthetic process","1/36","60/29008",0.0718708484224976,0.187070416894911,0.138790353688679,"Cct7",1
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase","1/36","60/29008",0.0718708484224976,0.187070416894911,0.138790353688679,"Cct7",1
"GO:0031667","BP","GO:0031667","response to nutrient levels","2/36","358/29008",0.0727133499137713,0.187070416894911,0.138790353688679,"Aacs/Tsc1",2
"GO:0031102","BP","GO:0031102","neuron projection regeneration","1/36","61/29008",0.0730250784023508,0.187070416894911,0.138790353688679,"Igf1r",1
"GO:0042698","BP","GO:0042698","ovulation cycle","1/36","61/29008",0.0730250784023508,0.187070416894911,0.138790353688679,"Igf1r",1
"GO:0046470","BP","GO:0046470","phosphatidylcholine metabolic process","1/36","61/29008",0.0730250784023508,0.187070416894911,0.138790353688679,"Cept1",1
"GO:0048524","BP","GO:0048524","positive regulation of viral process","1/36","61/29008",0.0730250784023508,0.187070416894911,0.138790353688679,"Vps37b",1
"GO:0070231","BP","GO:0070231","T cell apoptotic process","1/36","61/29008",0.0730250784023508,0.187070416894911,0.138790353688679,"Blm",1
"GO:0016126","BP","GO:0016126","sterol biosynthetic process","1/36","62/29008",0.0741779127954661,0.188280329113874,0.139688005747136,"Ebp",1
"GO:0042446","BP","GO:0042446","hormone biosynthetic process","1/36","62/29008",0.0741779127954661,0.188280329113874,0.139688005747136,"Igf1r",1
"GO:0051058","BP","GO:0051058","negative regulation of small GTPase mediated signal transduction","1/36","62/29008",0.0741779127954661,0.188280329113874,0.139688005747136,"Tnfaip1",1
"GO:0051785","BP","GO:0051785","positive regulation of nuclear division","1/36","63/29008",0.0753293532411017,0.188969715675943,0.140199471998004,"Igf1r",1
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","2/36","367/29008",0.0758994617945381,0.188969715675943,0.140199471998004,"Blm/Chmp4c",2
"GO:0001954","BP","GO:0001954","positive regulation of cell-matrix adhesion","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Tsc1",1
"GO:0006303","BP","GO:0006303","double-strand break repair via nonhomologous end joining","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Psmd14",1
"GO:0007584","BP","GO:0007584","response to nutrient","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Aacs",1
"GO:0051310","BP","GO:0051310","metaphase plate congression","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Chmp4c",1
"GO:0051893","BP","GO:0051893","regulation of focal adhesion assembly","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Tsc1",1
"GO:0090109","BP","GO:0090109","regulation of cell-substrate junction assembly","1/36","64/29008",0.0764794013766456,0.188969715675943,0.140199471998004,"Tsc1",1
"GO:0032387","BP","GO:0032387","negative regulation of intracellular transport","1/36","65/29008",0.0776280588376199,0.188969715675943,0.140199471998004,"Derl2",1
"GO:0032835","BP","GO:0032835","glomerulus development","1/36","65/29008",0.0776280588376199,0.188969715675943,0.140199471998004,"Asxl1",1
"GO:0072665","BP","GO:0072665","protein localization to vacuole","1/36","65/29008",0.0776280588376199,0.188969715675943,0.140199471998004,"Vps37b",1
"GO:1901264","BP","GO:1901264","carbohydrate derivative transport","1/36","65/29008",0.0776280588376199,0.188969715675943,0.140199471998004,"Slc35b1",1
"GO:1902017","BP","GO:1902017","regulation of cilium assembly","1/36","65/29008",0.0776280588376199,0.188969715675943,0.140199471998004,"Cep135",1
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","2/36","373/29008",0.0780483364752161,0.188969715675943,0.140199471998004,"Blm/Sox12",2
"GO:0140694","BP","GO:0140694","non-membrane-bounded organelle assembly","2/36","373/29008",0.0780483364752161,0.188969715675943,0.140199471998004,"Chmp4c/Cep135",2
"GO:0016239","BP","GO:0016239","positive regulation of macroautophagy","1/36","66/29008",0.0787753272576821,0.188969715675943,0.140199471998004,"Tsc1",1
"GO:0048286","BP","GO:0048286","lung alveolus development","1/36","66/29008",0.0787753272576821,0.188969715675943,0.140199471998004,"Asxl1",1
"GO:0090307","BP","GO:0090307","mitotic spindle assembly","1/36","66/29008",0.0787753272576821,0.188969715675943,0.140199471998004,"Chmp4c",1
"GO:2000736","BP","GO:2000736","regulation of stem cell differentiation","1/36","66/29008",0.0787753272576821,0.188969715675943,0.140199471998004,"Sox5",1
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","2/36","378/29008",0.0798538880916769,0.189527436751311,0.140613253645551,"Blm/Chmp4c",2
"GO:0000281","BP","GO:0000281","mitotic cytokinesis","1/36","67/29008",0.0799212082686251,0.189527436751311,0.140613253645551,"Chmp4c",1
"GO:0030968","BP","GO:0030968","endoplasmic reticulum unfolded protein response","1/36","67/29008",0.0799212082686251,0.189527436751311,0.140613253645551,"Derl2",1
"GO:0043967","BP","GO:0043967","histone H4 acetylation","1/36","67/29008",0.0799212082686251,0.189527436751311,0.140613253645551,"Hat1",1
"GO:0032233","BP","GO:0032233","positive regulation of actin filament bundle assembly","1/36","68/29008",0.0810657035003839,0.191149244049201,0.141816496853243,"Tsc1",1
"GO:0043954","BP","GO:0043954","cellular component maintenance","1/36","68/29008",0.0810657035003839,0.191149244049201,0.141816496853243,"Igf1r",1
"GO:1901214","BP","GO:1901214","regulation of neuron death","2/36","384/29008",0.0820380018973415,0.192749480514852,0.14300373633632,"Tsc1/Nono",2
"GO:0150116","BP","GO:0150116","regulation of cell-substrate junction organization","1/36","69/29008",0.0822088145810332,0.192749480514852,0.14300373633632,"Tsc1",1
"GO:0071479","BP","GO:0071479","cellular response to ionizing radiation","1/36","70/29008",0.0833505431367911,0.194875917756441,0.144581372083092,"Blm",1
"GO:0032732","BP","GO:0032732","positive regulation of interleukin-1 production","1/36","71/29008",0.084490890792022,0.195792790937927,0.145261614075698,"Casp4",1
"GO:0061035","BP","GO:0061035","regulation of cartilage development","1/36","71/29008",0.084490890792022,0.195792790937927,0.145261614075698,"Sox5",1
"GO:0009991","BP","GO:0009991","response to extracellular stimulus","2/36","391/29008",0.0846097130044018,0.195792790937927,0.145261614075698,"Aacs/Tsc1",2
"GO:0000079","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","1/36","72/29008",0.0856298591692382,0.195792790937927,0.145261614075698,"Blm",1
"GO:0007405","BP","GO:0007405","neuroblast proliferation","1/36","72/29008",0.0856298591692382,0.195792790937927,0.145261614075698,"Sox5",1
"GO:0010507","BP","GO:0010507","negative regulation of autophagy","1/36","72/29008",0.0856298591692382,0.195792790937927,0.145261614075698,"Tsc1",1
"GO:0048678","BP","GO:0048678","response to axon injury","1/36","72/29008",0.0856298591692382,0.195792790937927,0.145261614075698,"Igf1r",1
"GO:0090501","BP","GO:0090501","RNA phosphodiester bond hydrolysis","1/36","72/29008",0.0856298591692382,0.195792790937927,0.145261614075698,"Rnaseh1",1
"GO:0046635","BP","GO:0046635","positive regulation of alpha-beta T cell activation","1/36","73/29008",0.086767449889099,0.196231562419488,0.14558714523196,"Blm",1
"GO:0051453","BP","GO:0051453","regulation of intracellular pH","1/36","73/29008",0.086767449889099,0.196231562419488,0.14558714523196,"Dmxl2",1
